Texto_Formulario,Rotulo_Ambiguidade,Rotulo_FaltaDados,Rotulo_TomInadequado
"A gente queria um site que fosse tipo o da concorrência, mas mais moderno.",1,0,0
"Orçamento de R$ 5k, prazo de 30 dias. Funcionalidades: chat e login de usuário.",0,1,0
"Faz a parada que combinamos na reunião, valeu!",1,0,1
"Requisitos claros: App mobile para iOS/Android, integração com Stripe. Orçamento: 15k, 90 dias.",0,0,0
"Preciso de um computador novo, mas não sei qual.",1,1,0
"Entrega urgente, sem detalhes extras.",0,1,1
"Notebook Dell, 16GB RAM, SSD 512GB, preto.",0,0,0
"Celular Samsung, modelo qualquer, cor azul.",1,0,0
"Uniformes para equipe, tamanho M, 50 unidades.",0,0,0
"Livros de programação, autores variados, edição recente.",0,1,0
